source,target
"[25, 56, 4, 8, 57, 45, 6]","[6, 45, 57, 8, 4, 56, 25]"
"[58, 18, 47, 42, 24, 52, 59, 50]","[50, 59, 52, 24, 42, 47, 18, 58]"
"[16, 37, 29, 11, 28, 18, 14, 36, 25]","[25, 36, 14, 18, 28, 11, 29, 37, 16]"
"[15, 35, 26, 23]","[23, 26, 35, 15]"
"[33, 46, 48, 33, 50]","[50, 33, 48, 46, 33]"
"[30, 5, 38, 50, 19, 32]","[32, 19, 50, 38, 5, 30]"
"[9, 27, 44, 55, 59, 18, 10]","[10, 18, 59, 55, 44, 27, 9]"
"[47, 34, 44, 20, 36, 7, 36, 56]","[56, 36, 7, 36, 20, 44, 34, 47]"
"[43, 57, 31, 46, 30, 14, 37, 47, 48]","[48, 47, 37, 14, 30, 46, 31, 57, 43]"
"[48, 15, 16, 20]","[20, 16, 15, 48]"
"[22, 9, 14, 23, 29]","[29, 23, 14, 9, 22]"
"[39, 39, 17, 30, 10, 21]","[21, 10, 30, 17, 39, 39]"
"[48, 56, 6, 45, 35, 51, 33]","[33, 51, 35, 45, 6, 56, 48]"
"[56, 24, 45, 52, 46, 43, 25, 19]","[19, 25, 43, 46, 52, 45, 24, 56]"
"[12, 43, 11, 54, 49, 43, 56, 16, 60]","[60, 16, 56, 43, 49, 54, 11, 43, 12]"
"[4, 5, 43, 14]","[14, 43, 5, 4]"
"[17, 6, 49, 19, 33]","[33, 19, 49, 6, 17]"
"[34, 35, 46, 41, 17, 14]","[14, 17, 41, 46, 35, 34]"
"[39, 46, 18, 49, 58, 12, 5]","[5, 12, 58, 49, 18, 46, 39]"
"[21, 9, 58, 13, 4, 13, 13, 60]","[60, 13, 13, 4, 13, 58, 9, 21]"
"[28, 47, 12, 26, 18, 45, 46, 6, 14]","[14, 6, 46, 45, 18, 26, 12, 47, 28]"
"[30, 51, 59, 8]","[8, 59, 51, 30]"
"[50, 46, 11, 46, 42]","[42, 46, 11, 46, 50]"
"[53, 21, 35, 21, 40, 50]","[50, 40, 21, 35, 21, 53]"
"[5, 28, 49, 20, 16, 23, 51]","[51, 23, 16, 20, 49, 28, 5]"
"[15, 36, 43, 5, 50, 51, 25, 7]","[7, 25, 51, 50, 5, 43, 36, 15]"
"[19, 60, 13, 33, 56, 31, 24, 41, 27]","[27, 41, 24, 31, 56, 33, 13, 60, 19]"
"[24, 35, 53, 21]","[21, 53, 35, 24]"
"[36, 11, 29, 55, 23]","[23, 55, 29, 11, 36]"
"[28, 58, 13, 26, 60, 50]","[50, 60, 26, 13, 58, 28]"
"[49, 41, 30, 59, 29, 25, 17]","[17, 25, 29, 59, 30, 41, 49]"
"[36, 54, 38, 57, 7, 24, 23, 58]","[58, 23, 24, 7, 57, 38, 54, 36]"
"[13, 54, 35, 23, 47, 25, 7, 50, 27]","[27, 50, 7, 25, 47, 23, 35, 54, 13]"
"[13, 27, 29, 17]","[17, 29, 27, 13]"
"[7, 55, 40, 15, 55]","[55, 15, 40, 55, 7]"
"[8, 6, 41, 55, 60, 15]","[15, 60, 55, 41, 6, 8]"
"[13, 57, 52, 14, 16, 14, 32]","[32, 14, 16, 14, 52, 57, 13]"
"[29, 42, 36, 40, 7, 6, 39, 51]","[51, 39, 6, 7, 40, 36, 42, 29]"
"[49, 26, 53, 37, 39, 30, 59, 27, 17]","[17, 27, 59, 30, 39, 37, 53, 26, 49]"
"[51, 43, 18, 12]","[12, 18, 43, 51]"
"[22, 54, 36, 18, 4]","[4, 18, 36, 54, 22]"
"[36, 10, 40, 23, 41, 56]","[56, 41, 23, 40, 10, 36]"
"[15, 49, 56, 36, 58, 6, 21]","[21, 6, 58, 36, 56, 49, 15]"
"[33, 15, 26, 58, 34, 13, 43, 22]","[22, 43, 13, 34, 58, 26, 15, 33]"
"[9, 40, 17, 9, 28, 16, 38, 29, 52]","[52, 29, 38, 16, 28, 9, 17, 40, 9]"
"[38, 51, 33, 47]","[47, 33, 51, 38]"
"[8, 20, 47, 21, 27]","[27, 21, 47, 20, 8]"
"[55, 36, 32, 34, 58, 59]","[59, 58, 34, 32, 36, 55]"
"[46, 49, 13, 60, 11, 52, 6]","[6, 52, 11, 60, 13, 49, 46]"
"[8, 52, 58, 44, 50, 38, 5, 13]","[13, 5, 38, 50, 44, 58, 52, 8]"
"[48, 30, 16, 19, 5, 44, 29, 54, 23]","[23, 54, 29, 44, 5, 19, 16, 30, 48]"
"[25, 35, 39, 23]","[23, 39, 35, 25]"
"[15, 20, 18, 55, 6]","[6, 55, 18, 20, 15]"
"[56, 52, 30, 9, 15, 57]","[57, 15, 9, 30, 52, 56]"
"[22, 19, 24, 32, 13, 60, 43]","[43, 60, 13, 32, 24, 19, 22]"
"[14, 30, 36, 8, 16, 13, 14, 46]","[46, 14, 13, 16, 8, 36, 30, 14]"
"[11, 55, 36, 25, 41, 34, 35, 42, 43]","[43, 42, 35, 34, 41, 25, 36, 55, 11]"
"[19, 17, 22, 6]","[6, 22, 17, 19]"
"[26, 60, 51, 58, 13]","[13, 58, 51, 60, 26]"
"[56, 9, 26, 15, 31, 24]","[24, 31, 15, 26, 9, 56]"
"[25, 4, 59, 50, 35, 43, 20]","[20, 43, 35, 50, 59, 4, 25]"
"[54, 9, 13, 5, 24, 32, 10, 55]","[55, 10, 32, 24, 5, 13, 9, 54]"
"[33, 37, 41, 13, 46, 9, 7, 58, 31]","[31, 58, 7, 9, 46, 13, 41, 37, 33]"
"[24, 51, 10, 18]","[18, 10, 51, 24]"
"[54, 29, 4, 7, 53]","[53, 7, 4, 29, 54]"
"[21, 13, 5, 55, 34, 18]","[18, 34, 55, 5, 13, 21]"
"[25, 23, 28, 43, 46, 53, 11]","[11, 53, 46, 43, 28, 23, 25]"
"[33, 11, 51, 36, 11, 51, 36, 26]","[26, 36, 51, 11, 36, 51, 11, 33]"
"[53, 9, 50, 11, 32, 47, 28, 30, 44]","[44, 30, 28, 47, 32, 11, 50, 9, 53]"
"[31, 35, 16, 22]","[22, 16, 35, 31]"
"[7, 47, 55, 19, 21]","[21, 19, 55, 47, 7]"
"[25, 28, 42, 24, 10, 50]","[50, 10, 24, 42, 28, 25]"
"[35, 30, 28, 43, 36, 23, 6]","[6, 23, 36, 43, 28, 30, 35]"
"[56, 45, 52, 57, 15, 41, 38, 51]","[51, 38, 41, 15, 57, 52, 45, 56]"
"[18, 11, 55, 44, 23, 14, 20, 49, 20]","[20, 49, 20, 14, 23, 44, 55, 11, 18]"
"[59, 38, 14, 49]","[49, 14, 38, 59]"
"[35, 52, 15, 46, 49]","[49, 46, 15, 52, 35]"
"[31, 55, 22, 49, 21, 57]","[57, 21, 49, 22, 55, 31]"
"[12, 60, 28, 41, 46, 43, 9]","[9, 43, 46, 41, 28, 60, 12]"
"[51, 24, 39, 49, 38, 57, 42, 36]","[36, 42, 57, 38, 49, 39, 24, 51]"
"[19, 29, 60, 47, 59, 46, 18, 4, 43]","[43, 4, 18, 46, 59, 47, 60, 29, 19]"
"[19, 52, 11, 54]","[54, 11, 52, 19]"
"[28, 28, 47, 29, 35]","[35, 29, 47, 28, 28]"
"[55, 5, 11, 34, 57, 58]","[58, 57, 34, 11, 5, 55]"
"[45, 13, 50, 51, 56, 47, 59]","[59, 47, 56, 51, 50, 13, 45]"
"[8, 22, 46, 44, 20, 12, 58, 43]","[43, 58, 12, 20, 44, 46, 22, 8]"
"[46, 51, 11, 60, 10, 53, 28, 53, 40]","[40, 53, 28, 53, 10, 60, 11, 51, 46]"
"[38, 24, 14, 38]","[38, 14, 24, 38]"
"[12, 4, 42, 23, 35]","[35, 23, 42, 4, 12]"
"[53, 52, 47, 35, 11, 15]","[15, 11, 35, 47, 52, 53]"
"[53, 47, 44, 45, 13, 55, 23]","[23, 55, 13, 45, 44, 47, 53]"
"[28, 19, 45, 28, 29, 12, 31, 11]","[11, 31, 12, 29, 28, 45, 19, 28]"
"[30, 11, 39, 21, 34, 23, 50, 58, 31]","[31, 58, 50, 23, 34, 21, 39, 11, 30]"
"[15, 26, 18, 49]","[49, 18, 26, 15]"
"[42, 40, 41, 54, 6]","[6, 54, 41, 40, 42]"
"[30, 16, 30, 52, 26, 60]","[60, 26, 52, 30, 16, 30]"
"[56, 53, 35, 25, 57, 29, 5]","[5, 29, 57, 25, 35, 53, 56]"
"[14, 39, 56, 32, 15, 40, 40, 44]","[44, 40, 40, 15, 32, 56, 39, 14]"
"[12, 13, 23, 15, 47, 13, 47, 32, 25]","[25, 32, 47, 13, 47, 15, 23, 13, 12]"
"[4, 53, 24, 49]","[49, 24, 53, 4]"
"[48, 52, 58, 57, 18]","[18, 57, 58, 52, 48]"
"[22, 10, 9, 39, 24, 10]","[10, 24, 39, 9, 10, 22]"
"[38, 43, 44, 46, 58, 12, 49]","[49, 12, 58, 46, 44, 43, 38]"
"[59, 59, 8, 31, 12, 39, 32, 14]","[14, 32, 39, 12, 31, 8, 59, 59]"
"[12, 31, 4, 29, 15, 40, 23, 8, 30]","[30, 8, 23, 40, 15, 29, 4, 31, 12]"
"[23, 26, 11, 32]","[32, 11, 26, 23]"
"[51, 15, 18, 54, 30]","[30, 54, 18, 15, 51]"
"[48, 27, 49, 51, 60, 23]","[23, 60, 51, 49, 27, 48]"
"[56, 54, 14, 46, 5, 11, 48]","[48, 11, 5, 46, 14, 54, 56]"
"[47, 16, 41, 17, 57, 24, 50, 59]","[59, 50, 24, 57, 17, 41, 16, 47]"
"[36, 48, 39, 59, 25, 39, 47, 37, 14]","[14, 37, 47, 39, 25, 59, 39, 48, 36]"
"[56, 43, 43, 19]","[19, 43, 43, 56]"
"[52, 6, 58, 55, 38]","[38, 55, 58, 6, 52]"
"[30, 52, 44, 58, 20, 26]","[26, 20, 58, 44, 52, 30]"
"[11, 23, 11, 24, 6, 44, 55]","[55, 44, 6, 24, 11, 23, 11]"
"[42, 42, 52, 54, 41, 16, 56, 34]","[34, 56, 16, 41, 54, 52, 42, 42]"
"[23, 26, 55, 16, 51, 48, 33, 28, 53]","[53, 28, 33, 48, 51, 16, 55, 26, 23]"
"[51, 12, 31, 43]","[43, 31, 12, 51]"
"[26, 37, 20, 35, 4]","[4, 35, 20, 37, 26]"
"[39, 30, 18, 28, 57, 57]","[57, 57, 28, 18, 30, 39]"
"[37, 20, 8, 42, 12, 59, 53]","[53, 59, 12, 42, 8, 20, 37]"
"[4, 48, 32, 60, 57, 10, 38, 19]","[19, 38, 10, 57, 60, 32, 48, 4]"
"[52, 9, 24, 47, 21, 30, 13, 50, 37]","[37, 50, 13, 30, 21, 47, 24, 9, 52]"
"[15, 18, 16, 6]","[6, 16, 18, 15]"
"[58, 30, 60, 27, 16]","[16, 27, 60, 30, 58]"
"[15, 15, 26, 6, 40, 52]","[52, 40, 6, 26, 15, 15]"
"[34, 30, 19, 32, 36, 51, 46]","[46, 51, 36, 32, 19, 30, 34]"
"[26, 17, 14, 53, 4, 58, 12, 16]","[16, 12, 58, 4, 53, 14, 17, 26]"
"[24, 8, 42, 40, 43, 12, 39, 37, 11]","[11, 37, 39, 12, 43, 40, 42, 8, 24]"
"[10, 30, 16, 56]","[56, 16, 30, 10]"
"[28, 46, 29, 44, 32]","[32, 44, 29, 46, 28]"
"[49, 51, 7, 41, 40, 24]","[24, 40, 41, 7, 51, 49]"
"[59, 16, 50, 24, 37, 29, 60]","[60, 29, 37, 24, 50, 16, 59]"
"[20, 14, 21, 29, 52, 16, 12, 50]","[50, 12, 16, 52, 29, 21, 14, 20]"
"[34, 11, 53, 29, 12, 10, 25, 41, 57]","[57, 41, 25, 10, 12, 29, 53, 11, 34]"
"[18, 10, 19, 25]","[25, 19, 10, 18]"
"[34, 41, 40, 51, 28]","[28, 51, 40, 41, 34]"
"[49, 17, 59, 50, 46, 35]","[35, 46, 50, 59, 17, 49]"
"[15, 41, 6, 47, 16, 54, 25]","[25, 54, 16, 47, 6, 41, 15]"
"[7, 5, 19, 22, 7, 48, 38, 45]","[45, 38, 48, 7, 22, 19, 5, 7]"
"[59, 19, 33, 60, 30, 42, 20, 50, 46]","[46, 50, 20, 42, 30, 60, 33, 19, 59]"
"[12, 16, 52, 60]","[60, 52, 16, 12]"
"[27, 48, 37, 40, 43]","[43, 40, 37, 48, 27]"
"[7, 12, 8, 4, 60, 6]","[6, 60, 4, 8, 12, 7]"
"[7, 4, 38, 13, 18, 19, 8]","[8, 19, 18, 13, 38, 4, 7]"
"[21, 17, 46, 50, 17, 47, 31, 54]","[54, 31, 47, 17, 50, 46, 17, 21]"
"[22, 5, 24, 46, 56, 40, 25, 33, 50]","[50, 33, 25, 40, 56, 46, 24, 5, 22]"
"[28, 57, 16, 52]","[52, 16, 57, 28]"
"[27, 5, 40, 43, 29]","[29, 43, 40, 5, 27]"
"[47, 4, 48, 45, 33, 54]","[54, 33, 45, 48, 4, 47]"
"[19, 26, 56, 21, 34, 44, 19]","[19, 44, 34, 21, 56, 26, 19]"
"[14, 25, 49, 30, 56, 55, 58, 9]","[9, 58, 55, 56, 30, 49, 25, 14]"
"[55, 46, 41, 13, 41, 37, 13, 54, 29]","[29, 54, 13, 37, 41, 13, 41, 46, 55]"
"[33, 11, 29, 37]","[37, 29, 11, 33]"
"[12, 25, 49, 9, 53]","[53, 9, 49, 25, 12]"
"[51, 53, 29, 16, 32, 38]","[38, 32, 16, 29, 53, 51]"
"[47, 51, 26, 21, 32, 19, 33]","[33, 19, 32, 21, 26, 51, 47]"
"[25, 59, 25, 16, 36, 4, 17, 36]","[36, 17, 4, 36, 16, 25, 59, 25]"
"[11, 34, 35, 45, 27, 30, 12, 22, 23]","[23, 22, 12, 30, 27, 45, 35, 34, 11]"
"[10, 34, 18, 15]","[15, 18, 34, 10]"
"[10, 12, 10, 50, 40]","[40, 50, 10, 12, 10]"
"[43, 34, 52, 35, 12, 36]","[36, 12, 35, 52, 34, 43]"
"[36, 9, 39, 37, 15, 34, 58]","[58, 34, 15, 37, 39, 9, 36]"
"[18, 30, 55, 13, 17, 8, 55, 28]","[28, 55, 8, 17, 13, 55, 30, 18]"
"[30, 40, 47, 28, 9, 57, 34, 49, 38]","[38, 49, 34, 57, 9, 28, 47, 40, 30]"
"[9, 16, 14, 57]","[57, 14, 16, 9]"
"[51, 12, 54, 6, 12]","[12, 6, 54, 12, 51]"
"[15, 6, 34, 41, 17, 29]","[29, 17, 41, 34, 6, 15]"
"[36, 58, 21, 48, 44, 24, 27]","[27, 24, 44, 48, 21, 58, 36]"
"[32, 24, 55, 22, 43, 15, 29, 20]","[20, 29, 15, 43, 22, 55, 24, 32]"
"[8, 38, 16, 26, 50, 10, 21, 41, 55]","[55, 41, 21, 10, 50, 26, 16, 38, 8]"
"[18, 24, 46, 25]","[25, 46, 24, 18]"
"[8, 16, 15, 58, 28]","[28, 58, 15, 16, 8]"
"[27, 36, 37, 18, 31, 6]","[6, 31, 18, 37, 36, 27]"
"[50, 20, 54, 46, 39, 22, 25]","[25, 22, 39, 46, 54, 20, 50]"
"[55, 39, 34, 31, 23, 22, 55, 34]","[34, 55, 22, 23, 31, 34, 39, 55]"
"[50, 6, 48, 53, 56, 39, 5, 36, 48]","[48, 36, 5, 39, 56, 53, 48, 6, 50]"
"[16, 52, 4, 16]","[16, 4, 52, 16]"
"[5, 28, 54, 50, 45]","[45, 50, 54, 28, 5]"
"[42, 16, 8, 9, 6, 14]","[14, 6, 9, 8, 16, 42]"
"[32, 24, 36, 15, 36, 59, 17]","[17, 59, 36, 15, 36, 24, 32]"
"[27, 24, 45, 41, 12, 4, 20, 43]","[43, 20, 4, 12, 41, 45, 24, 27]"
"[58, 22, 33, 36, 26, 46, 14, 13, 14]","[14, 13, 14, 46, 26, 36, 33, 22, 58]"
"[53, 59, 9, 10]","[10, 9, 59, 53]"
"[48, 10, 60, 54, 19]","[19, 54, 60, 10, 48]"
"[11, 38, 31, 4, 45, 19]","[19, 45, 4, 31, 38, 11]"
"[49, 52, 23, 11, 42, 39, 20]","[20, 39, 42, 11, 23, 52, 49]"
"[58, 6, 20, 18, 28, 35, 39, 29]","[29, 39, 35, 28, 18, 20, 6, 58]"
"[26, 38, 11, 11, 57, 12, 28, 21, 16]","[16, 21, 28, 12, 57, 11, 11, 38, 26]"
"[45, 7, 15, 4]","[4, 15, 7, 45]"
"[7, 20, 11, 31, 4]","[4, 31, 11, 20, 7]"
"[32, 24, 43, 14, 59, 52]","[52, 59, 14, 43, 24, 32]"
"[57, 36, 39, 54, 33, 12, 17]","[17, 12, 33, 54, 39, 36, 57]"
"[46, 35, 48, 18, 36, 51, 39, 31]","[31, 39, 51, 36, 18, 48, 35, 46]"
"[15, 5, 12, 25, 56, 55, 37, 57, 34]","[34, 57, 37, 55, 56, 25, 12, 5, 15]"
"[46, 36, 35, 58]","[58, 35, 36, 46]"
"[19, 9, 6, 23, 27]","[27, 23, 6, 9, 19]"
"[19, 59, 22, 26, 53, 12]","[12, 53, 26, 22, 59, 19]"
"[41, 20, 50, 6, 9, 18, 38]","[38, 18, 9, 6, 50, 20, 41]"
"[39, 60, 30, 50, 23, 19, 40, 11]","[11, 40, 19, 23, 50, 30, 60, 39]"
"[15, 22, 12, 56, 55, 15, 28, 11, 45]","[45, 11, 28, 15, 55, 56, 12, 22, 15]"
"[27, 51, 26, 14]","[14, 26, 51, 27]"
"[14, 54, 39, 52, 55]","[55, 52, 39, 54, 14]"
"[57, 40, 17, 42, 43, 45]","[45, 43, 42, 17, 40, 57]"
"[29, 58, 51, 60, 30, 42, 6]","[6, 42, 30, 60, 51, 58, 29]"
"[20, 7, 24, 32, 47, 27, 43, 39]","[39, 43, 27, 47, 32, 24, 7, 20]"
"[31, 11, 52, 36, 39, 58, 9, 12, 30]","[30, 12, 9, 58, 39, 36, 52, 11, 31]"
"[26, 18, 33, 59]","[59, 33, 18, 26]"
"[21, 9, 41, 41, 17]","[17, 41, 41, 9, 21]"
"[25, 45, 17, 58, 9, 27]","[27, 9, 58, 17, 45, 25]"
"[48, 13, 60, 27, 26, 46, 52]","[52, 46, 26, 27, 60, 13, 48]"
"[31, 23, 18, 20, 22, 35, 42, 55]","[55, 42, 35, 22, 20, 18, 23, 31]"
"[8, 57, 60, 27, 15, 34, 58, 35, 8]","[8, 35, 58, 34, 15, 27, 60, 57, 8]"
"[18, 18, 19, 29]","[29, 19, 18, 18]"
"[35, 14, 4, 36, 23]","[23, 36, 4, 14, 35]"
"[20, 36, 57, 12, 49, 34]","[34, 49, 12, 57, 36, 20]"
"[48, 4, 11, 22, 40, 54, 28]","[28, 54, 40, 22, 11, 4, 48]"
"[26, 44, 12, 11, 7, 41, 42, 19]","[19, 42, 41, 7, 11, 12, 44, 26]"
"[19, 26, 36, 47, 27, 20, 32, 59, 16]","[16, 59, 32, 20, 27, 47, 36, 26, 19]"
"[35, 42, 30, 19]","[19, 30, 42, 35]"
"[24, 43, 59, 56, 30]","[30, 56, 59, 43, 24]"
"[38, 43, 21, 12, 8, 48]","[48, 8, 12, 21, 43, 38]"
"[7, 41, 23, 16, 39, 51, 59]","[59, 51, 39, 16, 23, 41, 7]"
"[10, 37, 9, 31, 25, 39, 39, 8]","[8, 39, 39, 25, 31, 9, 37, 10]"
"[16, 15, 56, 44, 53, 25, 5, 15, 11]","[11, 15, 5, 25, 53, 44, 56, 15, 16]"
"[5, 54, 15, 8]","[8, 15, 54, 5]"
"[9, 17, 18, 43, 49]","[49, 43, 18, 17, 9]"
"[37, 45, 38, 46, 57, 27]","[27, 57, 46, 38, 45, 37]"
"[20, 46, 46, 7, 46, 4, 22]","[22, 4, 46, 7, 46, 46, 20]"
"[41, 30, 48, 10, 27, 9, 41, 16]","[16, 41, 9, 27, 10, 48, 30, 41]"
"[47, 14, 28, 33, 20, 10, 13, 51, 19]","[19, 51, 13, 10, 20, 33, 28, 14, 47]"
"[21, 31, 56, 5]","[5, 56, 31, 21]"
"[40, 60, 44, 30, 58]","[58, 30, 44, 60, 40]"
"[9, 26, 39, 8, 5, 40]","[40, 5, 8, 39, 26, 9]"
"[5, 45, 60, 12, 49, 59, 58]","[58, 59, 49, 12, 60, 45, 5]"
"[51, 27, 9, 39, 21, 51, 22, 57]","[57, 22, 51, 21, 39, 9, 27, 51]"
"[25, 46, 24, 11, 58, 40, 14, 16, 22]","[22, 16, 14, 40, 58, 11, 24, 46, 25]"
"[40, 5, 60, 55]","[55, 60, 5, 40]"
"[40, 37, 14, 47, 43]","[43, 47, 14, 37, 40]"
"[7, 15, 56, 20, 12, 29]","[29, 12, 20, 56, 15, 7]"
"[43, 14, 48, 22, 13, 4, 46]","[46, 4, 13, 22, 48, 14, 43]"
"[4, 40, 55, 10, 50, 12, 39, 8]","[8, 39, 12, 50, 10, 55, 40, 4]"
"[21, 52, 4, 57, 29, 55, 41, 58, 48]","[48, 58, 41, 55, 29, 57, 4, 52, 21]"
"[14, 9, 30, 53]","[53, 30, 9, 14]"
"[19, 18, 54, 8, 19]","[19, 8, 54, 18, 19]"
"[28, 22, 23, 21, 12, 27]","[27, 12, 21, 23, 22, 28]"
"[30, 44, 34, 12, 13, 21, 54]","[54, 21, 13, 12, 34, 44, 30]"
"[23, 30, 29, 57, 18, 29, 39, 39]","[39, 39, 29, 18, 57, 29, 30, 23]"
"[37, 7, 20, 13, 10, 27, 16, 36, 4]","[4, 36, 16, 27, 10, 13, 20, 7, 37]"
"[4, 47, 60, 50]","[50, 60, 47, 4]"
"[22, 6, 28, 57, 39]","[39, 57, 28, 6, 22]"
"[25, 32, 34, 52, 31, 29]","[29, 31, 52, 34, 32, 25]"
"[57, 58, 37, 4, 25, 33, 5]","[5, 33, 25, 4, 37, 58, 57]"
"[34, 33, 49, 54, 9, 45, 26, 47]","[47, 26, 45, 9, 54, 49, 33, 34]"
"[32, 57, 58, 52, 5, 48, 56, 32, 59]","[59, 32, 56, 48, 5, 52, 58, 57, 32]"
"[52, 54, 19, 29]","[29, 19, 54, 52]"
"[23, 23, 48, 31, 19]","[19, 31, 48, 23, 23]"
"[40, 11, 42, 56, 46, 51]","[51, 46, 56, 42, 11, 40]"
"[4, 12, 22, 15, 60, 56, 29]","[29, 56, 60, 15, 22, 12, 4]"
"[9, 24, 60, 12, 22, 27, 37, 31]","[31, 37, 27, 22, 12, 60, 24, 9]"
"[51, 35, 20, 34, 45, 16, 32, 48, 55]","[55, 48, 32, 16, 45, 34, 20, 35, 51]"
"[19, 26, 6, 12]","[12, 6, 26, 19]"
"[35, 53, 42, 34, 32]","[32, 34, 42, 53, 35]"
"[43, 5, 42, 5, 5, 27]","[27, 5, 5, 42, 5, 43]"
"[13, 28, 31, 57, 32, 19, 58]","[58, 19, 32, 57, 31, 28, 13]"
"[33, 5, 22, 59, 49, 54, 41, 48]","[48, 41, 54, 49, 59, 22, 5, 33]"
"[10, 41, 23, 17, 19, 43, 33, 38, 18]","[18, 38, 33, 43, 19, 17, 23, 41, 10]"
"[47, 48, 29, 34]","[34, 29, 48, 47]"
"[55, 19, 40, 42, 50]","[50, 42, 40, 19, 55]"
"[37, 11, 16, 39, 31, 15]","[15, 31, 39, 16, 11, 37]"
"[11, 35, 15, 11, 47, 44, 41]","[41, 44, 47, 11, 15, 35, 11]"
"[43, 20, 22, 54, 52, 38, 12, 44]","[44, 12, 38, 52, 54, 22, 20, 43]"
"[40, 26, 44, 24, 34, 11, 6, 46, 35]","[35, 46, 6, 11, 34, 24, 44, 26, 40]"
"[28, 54, 18, 41]","[41, 18, 54, 28]"
"[11, 59, 15, 58, 43]","[43, 58, 15, 59, 11]"
"[17, 44, 23, 52, 39, 56]","[56, 39, 52, 23, 44, 17]"
"[59, 58, 58, 24, 42, 31, 23]","[23, 31, 42, 24, 58, 58, 59]"
"[47, 6, 26, 33, 58, 13, 41, 5]","[5, 41, 13, 58, 33, 26, 6, 47]"
"[55, 26, 8, 17, 7, 53, 60, 50, 58]","[58, 50, 60, 53, 7, 17, 8, 26, 55]"
"[17, 41, 22, 12]","[12, 22, 41, 17]"
"[55, 53, 16, 43, 60]","[60, 43, 16, 53, 55]"
"[33, 46, 20, 41, 47, 28]","[28, 47, 41, 20, 46, 33]"
"[4, 12, 5, 59, 8, 25, 37]","[37, 25, 8, 59, 5, 12, 4]"
"[13, 40, 19, 41, 38, 15, 26, 32]","[32, 26, 15, 38, 41, 19, 40, 13]"
"[17, 32, 17, 33, 32, 31, 35, 53, 30]","[30, 53, 35, 31, 32, 33, 17, 32, 17]"
"[43, 33, 48, 32]","[32, 48, 33, 43]"
"[49, 26, 43, 45, 37]","[37, 45, 43, 26, 49]"
"[47, 8, 16, 25, 4, 49]","[49, 4, 25, 16, 8, 47]"
"[19, 51, 26, 51, 53, 13, 8]","[8, 13, 53, 51, 26, 51, 19]"
"[25, 53, 19, 32, 29, 23, 10, 55]","[55, 10, 23, 29, 32, 19, 53, 25]"
"[58, 20, 59, 43, 31, 32, 51, 43, 39]","[39, 43, 51, 32, 31, 43, 59, 20, 58]"
"[25, 14, 9, 51]","[51, 9, 14, 25]"
"[37, 40, 5, 58, 36]","[36, 58, 5, 40, 37]"
"[31, 18, 57, 19, 38, 53]","[53, 38, 19, 57, 18, 31]"
"[28, 38, 14, 57, 22, 7, 15]","[15, 7, 22, 57, 14, 38, 28]"
"[43, 28, 20, 58, 9, 53, 40, 47]","[47, 40, 53, 9, 58, 20, 28, 43]"
"[57, 8, 40, 51, 41, 49, 59, 41, 39]","[39, 41, 59, 49, 41, 51, 40, 8, 57]"
"[40, 34, 57, 28]","[28, 57, 34, 40]"
"[59, 12, 59, 60, 21]","[21, 60, 59, 12, 59]"
"[21, 34, 16, 33, 8, 32]","[32, 8, 33, 16, 34, 21]"
"[37, 59, 46, 33, 59, 10, 56]","[56, 10, 59, 33, 46, 59, 37]"
"[39, 49, 4, 28, 11, 37, 23, 51]","[51, 23, 37, 11, 28, 4, 49, 39]"
"[44, 24, 29, 53, 21, 41, 11, 20, 15]","[15, 20, 11, 41, 21, 53, 29, 24, 44]"
"[16, 21, 14, 24]","[24, 14, 21, 16]"
"[56, 37, 40, 20, 58]","[58, 20, 40, 37, 56]"
"[32, 21, 7, 19, 36, 15]","[15, 36, 19, 7, 21, 32]"
"[54, 38, 12, 31, 17, 40, 59]","[59, 40, 17, 31, 12, 38, 54]"
"[39, 44, 54, 7, 5, 13, 58, 60]","[60, 58, 13, 5, 7, 54, 44, 39]"
"[26, 42, 43, 15, 38, 34, 5, 55, 45]","[45, 55, 5, 34, 38, 15, 43, 42, 26]"
"[16, 36, 30, 19]","[19, 30, 36, 16]"
"[22, 60, 39, 46, 46]","[46, 46, 39, 60, 22]"
"[30, 19, 54, 16, 5, 23]","[23, 5, 16, 54, 19, 30]"
"[24, 41, 17, 52, 14, 28, 19]","[19, 28, 14, 52, 17, 41, 24]"
"[30, 20, 45, 57, 19, 5, 17, 31]","[31, 17, 5, 19, 57, 45, 20, 30]"
"[59, 19, 50, 35, 33, 7, 22, 56, 35]","[35, 56, 22, 7, 33, 35, 50, 19, 59]"
"[22, 47, 11, 51]","[51, 11, 47, 22]"
"[5, 37, 32, 9, 12]","[12, 9, 32, 37, 5]"
"[20, 55, 40, 50, 30, 22]","[22, 30, 50, 40, 55, 20]"
"[8, 7, 52, 32, 7, 55, 49]","[49, 55, 7, 32, 52, 7, 8]"
"[43, 15, 59, 35, 16, 52, 46, 33]","[33, 46, 52, 16, 35, 59, 15, 43]"
"[52, 13, 42, 28, 54, 42, 7, 36, 10]","[10, 36, 7, 42, 54, 28, 42, 13, 52]"
"[57, 7, 22, 19]","[19, 22, 7, 57]"
"[7, 40, 18, 24, 39]","[39, 24, 18, 40, 7]"
"[19, 46, 17, 27, 8, 56]","[56, 8, 27, 17, 46, 19]"
"[6, 42, 29, 41, 44, 52, 39]","[39, 52, 44, 41, 29, 42, 6]"
